Name                	Level	Lines count	Functions count
.                   	1	752	30
bin                 	2	0	0
config              	3	0	0
cmd                 	2	32	2
ddl_from_protobuf   	3	32	2
docs                	2	0	0
internal            	2	697	27
config              	3	127	6
constants           	3	12	0
ddl                 	3	307	14
load_configs        	3	164	4
load_configs_mapping	4	64	1
logic               	3	23	1
protobuf            	3	63	2
types               	3	1	0
pkg                 	2	23	1
version             	3	23	1
test                	2	0	0
ddl                 	3	0	0
proto               	3	0	0
google              	4	0	0
protobuf            	5	0	0
bridge              	6	0	0
compiler            	6	0	0
cpp                 	7	0	0
field_generators    	8	0	0
tools               	8	0	0
csharp              	7	0	0
java                	7	0	0
full                	8	0	0
lite                	8	0	0
kotlin              	7	0	0
objectivec          	7	0	0
php                 	7	0	0
python              	7	0	0
ruby                	7	0	0
rust                	7	0	0
accessors           	8	0	0
io                  	6	0	0
json                	6	0	0
internal            	7	0	0
stubs               	6	0	0
testdata            	6	0	0
extdecl             	7	0	0
invalid             	8	0	0
invalid_extdecl     	7	0	0
testing             	6	0	0
util                	6	0	0
